Year,Sex,County/City,Irish Speakers,Irish Speakers(%),Non-Irish Speakers,Not Stated,Population
2016,Male,Kerry,27923.0,39.6,40143.0,2378.0,70444.0
2016,Male,Kildare,38604.0,36.6,64388.0,2384.0,105376.0
2016,Male,Kilkenny,17301.0,36.5,29140.0,961.0,47402.0
2016,Male,Laois,14524.0,35.5,24602.0,1762.0,40888.0
2016,Male,Leitrim,5442.0,35.3,9539.0,448.0,15429.0
2016,Male,Limerick City and County,34842.0,37.3,55588.0,3013.0,93443.0
2016,Male,Longford,6297.0,32.0,12825.0,579.0,19701.0
2016,Male,Louth,18796.0,30.9,40086.0,1944.0,60826.0
2016,Male,Mayo,24704.0,39.5,36456.0,1348.0,62508.0
2016,Male,Meath,32211.0,34.9,57805.0,2205.0,92221.0
2016,Male,Monaghan,9904.0,33.6,18909.0,671.0,29484.0
2016,Male,Offaly,12237.0,32.9,23871.0,1034.0,37142.0
2016,Male,Roscommon,11406.0,36.7,19080.0,607.0,31093.0
2016,Male,Sligo,11009.0,35.4,19260.0,859.0,31128.0
2016,Male,South Dublin,40925.0,31.5,84218.0,4664.0,129807.0
2016,Male,State,792643.0,35.1,1387498.0,75556.0,2255697.0
2016,Male,Tipperary,29416.0,38.5,45196.0,1783.0,76395.0
2016,Male,Waterford City and County,20583.0,37.2,33074.0,1715.0,55372.0
2016,Male,Westmeath,14321.0,34.0,26671.0,1175.0,42167.0
2016,Male,Wexford,22325.0,31.6,46735.0,1566.0,70626.0
2016,Male,Wicklow,22284.0,33.2,43355.0,1568.0,67207.0
